"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"common-data-model-research-study","common-data-model-research-study","","","",0,*,"","","","null {[]} {[]}
","CDM Research Study","The **Common Data Model (CDM) Research Study** represents the understanding of what a Research Study is from the context of users and authors of the NCPI FHIR IG.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"common-data-model-research-study.persistentIdentifier","common-data-model-research-study.persistentIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","External facing, globally unique identifier. ","External facing, globally unique identifier.","","","","","","","","","",,,,,"",,,,"common-data-model-research-study.persistentIdentifier",0,*,"",""
"common-data-model-research-study.parentStudy","common-data-model-research-study.parentStudy","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://nih-ncpi.github.io/ncpi-fhir-ig-2/StructureDefinition/common-data-model-research-study]]}
","Parent study, required only for substudies.","Parent study, required only for substudies.","","","","","","","","","",,,,,"",,,,"common-data-model-research-study.parentStudy",0,1,"",""
"common-data-model-research-study.name","common-data-model-research-study.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","","","","","","","","","",,,,,"",,,,"common-data-model-research-study.name",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"common-data-model-research-study.name.id","common-data-model-research-study.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"common-data-model-research-study.name.extension","common-data-model-research-study.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"common-data-model-research-study.name.modifierExtension","common-data-model-research-study.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"common-data-model-research-study.name.text","common-data-model-research-study.name.text","","","",1,1,"","","","string {[]} {[]}
","The study's name","The study's name","","","","","","","","","",,,,,"",,,,"common-data-model-research-study.name.text",1,1,"",""
"common-data-model-research-study.name.type","common-data-model-research-study.name.type","","","",0,1,"","","","code {[]} {[]}
","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type","",,,,"common-data-model-research-study.name.type",0,1,"",""
"common-data-model-research-study.description","common-data-model-research-study.description","","","",1,1,"","","","string {[]} {[]}
","short summary of relevant and important information about the study.","short summary of relevant and important information about the study.","","","","","","","","","",,,,,"",,,,"common-data-model-research-study.description",1,1,"",""
